Guest_Name,Age,Room_Type,CheckIn_Date,CheckOut_Date,Booking_Channel,Total_Charges,Satisfaction_Score
pAulo chiavini,69,Standard,2025-08-21,2025-08-23,Site Oficial,296.9678883491428,1.0
aNa pereira,32,Standard,2025-08-28,2025-09-10,Booking.com,2235.3833846966604,5.0
luYz silva,78,Standard,2025-01-04,2025-01-18,Site Oficial,1907.7028783086523,4.0
luYz silva,38,Deluxe,2025-06-30,2025-07-14,Booking.com,3751.3335675554604,2.0
aNa silva,41,Deluxe,2025-02-28,2025-03-02,Booking.com,575.6595604929895,3.0
lucas SANTOS,20,Standard,2025-01-12,2025-01-25,Booking.com,2076.731527421373,4.0
feliPe ALVES,39,Suite,2025-01-29,2025-02-09,Booking.com,4392.2529339432485,3.0
ferNanda okawachi,70,Suite,2025-03-13,2025-03-18,Direto no Balcao,2305.413558193798,4.0
luYz pereira,19,Deluxe,2025-04-11,2025-04-25,Site Oficial,3366.5066933694748,2.0
MARIA silva,47,Suite,2025-01-31,2025-02-05,Site Oficial,2255.339673930783,4.0
joAo okawachi,55,Standard,2025-07-03,2025-07-10,Booking.com,995.905961824778,3.0
MARIA oliveira,19,Standard,2025-04-16,2025-04-17,Booking.com,148.52591249786553,4.0
joAo SANTOS,81,Standard,2025-10-17,2025-10-25,Site Oficial,1094.4780925655255,5.0
julia chiavini,77,Standard,2025-03-07,2025-03-10,Direto no Balcao,477.09334068401483,4.0
carlos SANTOS,38,Deluxe,2025-08-09,2025-08-13,Agencia,1098.7818925286952,3.0
luYz ALVES,50,Suite,2025-02-25,2025-03-06,Agencia,3664.239771014024,3.0
lucas pereira,75,Standard,2025-04-27,2025-05-01,Site Oficial,597.0020889028918,3.0
lucas costa,39,Standard,2025-01-11,2025-01-21,Booking.com,1466.3092649235373,3.0
joAo chiavini,66,Standard,2025-05-17,2025-05-29,Booking.com,1838.8640900760454,3.0
joAo ALVES,76,Suite,2025-11-27,2025-12-02,Direto no Balcao,2226.232508022927,5.0
julia oliveira,59,Standard,2025-09-07,2025-09-14,Agencia,1076.4193393523867,4.0
ferNanda ALVES,77,Deluxe,2025-06-09,2025-06-13,Direto no Balcao,-900.4821485699699,4.0
julia pereira,32,Standard,2025-05-23,2025-06-06,Agencia,2038.2397956752063,4.0
pAulo oliveira,79,Standard,2025-12-20,2025-12-21,Site Oficial,136.6150387947866,4.0
feliPe okawachi,79,Presidencial,2025-08-05,2025-08-14,Agencia,10543.59642369124,2.0
carlos costa,64,Presidencial,2025-08-13,2025-08-17,Direto no Balcao,4084.538507610488,5.0
luYz silva,79,Standard,2025-05-29,2025-06-07,Direto no Balcao,1403.1289184068005,3.0
joAo pereira,68,Presidencial,2025-09-19,2025-09-25,Direto no Balcao,6293.080953385238,5.0
pAulo silva,72,Deluxe,2025-04-13,2025-04-14,Site Oficial,250.87507786123686,5.0
ferNanda costa,81,Suite,2025-03-09,2025-03-21,Agencia,5232.290809030813,5.0
julia SANTOS,20,Standard,2025-10-30,2025-11-02,Agencia,461.42628904124575,4.0
joAo SANTOS,68,Deluxe,2025-04-13,2025-04-24,Direto no Balcao,3229.4668629882103,1.0
carlos chiavini,24,Standard,2025-08-22,2025-08-24,Agencia,323.67094415922224,4.0
julia oliveira,38,Deluxe,2025-08-28,2025-09-06,Booking.com,2473.4388484545675,4.0
julia pereira,56,Standard,2025-01-05,2025-01-17,Booking.com,1818.1333079850683,4.0
aNa chiavini,35,Standard,2025-02-05,2025-02-06,Booking.com,155.05757982261568,5.0
aNa costa,21,Standard,2025-11-07,2025-11-20,Agencia,2262.5546855795565,3.0
aNa chiavini,77,Deluxe,2025-10-24,2025-11-07,Site Oficial,3524.937323466679,3.0
lucas pereira,31,Standard,2025-09-03,2025-09-12,Site Oficial,1603.0944589266123,3.0
luYz ALVES,26,Deluxe,2025-01-18,2025-01-27,Site Oficial,2493.0023331990533,3.0
joAo pereira,70,Presidencial,2025-07-03,2025-07-11,Site Oficial,7988.78733388731,4.0
lucas chiavini,19,Standard,2025-09-05,2025-09-13,Booking.com,1089.2947971915548,5.0
lucas SANTOS,77,Deluxe,2025-09-23,2025-10-04,Booking.com,3088.659196126815,5.0
lucas ALVES,61,Standard,2025-05-31,2025-06-14,Direto no Balcao,2055.4115695382848,5.0
ferNanda oliveira,25,Suite,2025-12-20,2026-01-01,Agencia,5108.289021501539,5.0
ferNanda pereira,64,Standard,2025-09-04,2025-09-05,Agencia,174.1674738420552,5.0
MARIA pereira,52,Deluxe,2025-09-22,2025-10-03,Site Oficial,2800.615562966853,1.0
luYz pereira,53,Suite,2025-02-17,2025-02-25,Booking.com,3777.070451942666,5.0
joAo silva,67,Suite,2025-11-10,2025-11-20,Site Oficial,4331.019165923889,3.0
joAo silva,21,Deluxe,2025-01-27,2025-02-10,Direto no Balcao,3204.421853587958,2.0
pAulo SANTOS,19,Standard,2025-08-05,2025-08-08,Agencia,535.9155877717316,4.0
aNa silva,23,Deluxe,2025-06-16,2025-06-27,Agencia,3244.5432642951787,3.0
MARIA costa,71,Suite,2025-11-14,2025-11-21,Site Oficial,2976.1424136405044,2.0
julia silva,21,Deluxe,2025-12-07,2025-12-18,Direto no Balcao,-2951.2217253328095,2.0
luYz ALVES,71,Standard,2025-11-21,2025-11-22,Agencia,137.207497348723,1.0
